# gitter v1.1 data file generated on Fri Oct 09 10:06:16 2015
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	360	0.4091	C
1	2	193	0.2335	C
1	3	410	0.5955	C
1	4	377	0.4697	C
1	5	261	0.1836	C
1	6	374	0.1073	S,C
1	7	421	0.1978	S,C
1	8	342	0.7667	
1	9	306	0.8537	
1	10	279	0.6231	
1	11	341	0.743	
1	12	347	0.7924	
1	13	354	0.8754	
1	14	393	0.7842	
1	15	412	0.7665	
1	16	439	0.8251	
1	17	366	0.8319	
1	18	346	0.8458	
1	19	396	0.9001	
1	20	453	0.7157	S
1	21	385	0.7764	
1	22	374	0.7463	
1	23	463	0.6057	
1	24	524	0.6276	S
1	25	445	0.561	C
1	26	340	0.6149	S
1	27	447	0.7666	
1	28	423	0.7917	
1	29	444	0.8501	
1	30	416	0.6839	
1	31	471	0.9262	
1	32	440	0.7546	
1	33	457	0.8299	
1	34	454	0.8097	
1	35	0	NA	
1	36	0	NA	
1	37	172	0.8631	
1	38	148	0.7787	
1	39	254	0.9029	
1	40	348	0.1523	C
1	41	609	0.4124	S,C
1	42	485	0.5122	C
1	43	0	NA	
1	44	0	NA	
1	45	517	0.7915	
1	46	392	0.8968	
1	47	349	0.7329	S
1	48	685	0.2538	S,C
2	1	275	0.6153	
2	2	266	0.7687	
2	3	377	0.9368	
2	4	312	0.8768	
2	5	187	0.8758	
2	6	208	0.7135	
2	7	321	0.7757	
2	8	326	0.784	
2	9	279	0.8484	
2	10	301	0.975	
2	11	336	0.8991	
2	12	345	0.8515	
2	13	338	0.8207	
2	14	338	0.9768	
2	15	333	0.8761	
2	16	320	0.822	
2	17	266	0.8301	
2	18	268	0.8455	
2	19	332	0.9263	
2	20	300	0.9123	S
2	21	287	0.8209	
2	22	271	0.9634	
2	23	306	0.8975	
2	24	304	0.9591	
2	25	273	0.9626	
2	26	306	0.7641	S
2	27	265	0.7855	
2	28	285	0.9232	
2	29	267	1.0164	
2	30	264	0.8393	
2	31	286	0.7979	
2	32	300	0.9054	
2	33	273	0.944	
2	34	314	0.8123	
2	35	0	NA	
2	36	0	NA	
2	37	165	0.8561	
2	38	164	0.8715	
2	39	219	0.9339	
2	40	227	0.8231	
2	41	443	0.7598	S
2	42	442	0.8342	
2	43	0	NA	
2	44	0	NA	
2	45	454	0.7972	
2	46	414	0.8261	
2	47	331	0.7855	
2	48	395	0.7245	
3	1	505	0.908	
3	2	401	0.9516	
3	3	355	0.816	
3	4	321	0.9114	
3	5	290	0.9573	
3	6	305	0.9275	
3	7	295	0.9379	
3	8	282	0.8007	
3	9	317	0.9567	
3	10	328	0.9974	
3	11	305	0.9803	
3	12	289	0.8566	
3	13	183	0.8685	
3	14	188	0.9434	
3	15	216	0.9711	
3	16	211	0.8622	
3	17	280	0.9496	
3	18	252	0.8385	
3	19	256	0.9282	
3	20	264	0.9309	
3	21	257	0.9986	
3	22	267	0.7321	
3	23	145	0.9605	
3	24	163	0.8965	
3	25	99	0.8192	
3	26	85	1.0726	
3	27	355	0.8346	
3	28	280	0.8902	
3	29	362	0.9756	
3	30	210	0.833	
3	31	223	0.8086	
3	32	242	0.9212	
3	33	283	0.9096	
3	34	322	0.9306	
3	35	359	0.886	
3	36	375	0.8757	
3	37	0	NA	
3	38	0	NA	
3	39	202	0.9373	
3	40	229	0.9276	
3	41	0	NA	
3	42	0	NA	
3	43	423	0.9878	
3	44	430	0.9666	
3	45	0	NA	
3	46	0	NA	
3	47	262	0.9422	
3	48	306	0.8752	
4	1	450	0.7825	
4	2	402	0.8316	
4	3	373	0.8711	
4	4	362	0.9299	
4	5	317	0.8282	
4	6	233	0.9323	
4	7	298	0.8899	
4	8	295	0.9738	
4	9	325	0.8211	
4	10	331	0.9235	
4	11	274	0.9935	
4	12	299	0.7866	
4	13	177	0.9877	
4	14	176	0.8832	
4	15	223	1.0025	
4	16	200	0.8795	
4	17	299	0.8705	
4	18	298	0.9837	
4	19	278	0.8454	
4	20	288	0.9768	
4	21	281	0.8329	
4	22	286	0.8327	
4	23	149	0.976	
4	24	151	0.8305	
4	25	98	1.007	
4	26	96	0.9542	
4	27	349	0.8817	
4	28	330	0.8984	
4	29	265	0.9885	
4	30	230	0.8508	
4	31	221	0.8843	
4	32	223	0.9308	
4	33	268	0.9914	
4	34	280	0.9243	
4	35	324	0.9199	
4	36	368	0.9297	
4	37	0	NA	
4	38	0	NA	
4	39	206	0.9347	
4	40	217	0.9337	
4	41	0	NA	
4	42	0	NA	
4	43	402	0.8896	
4	44	407	0.9149	
4	45	0	NA	
4	46	0	NA	
4	47	262	1.018	
4	48	289	0.9802	
5	1	443	0.9303	
5	2	399	0.8694	
5	3	367	0.8768	
5	4	362	0.8648	
5	5	263	0.8145	
5	6	299	0.919	
5	7	333	0.8554	
5	8	339	0.9072	
5	9	283	0.8765	
5	10	280	0.8902	
5	11	304	0.9591	
5	12	287	0.7551	
5	13	353	0.8772	
5	14	316	0.9787	
5	15	308	0.8809	
5	16	315	0.9171	
5	17	220	0.9264	
5	18	203	0.8548	
5	19	281	0.935	
5	20	272	0.8648	
5	21	246	0.9364	
5	22	244	0.997	
5	23	219	0.9423	
5	24	234	0.9363	
5	25	293	0.875	
5	26	292	0.9283	
5	27	311	0.7857	
5	28	312	0.8208	
5	29	272	0.8811	
5	30	306	0.8189	
5	31	92	0.8197	
5	32	77	0.9717	
5	33	292	0.9825	
5	34	303	0.8821	
5	35	148	0.9338	
5	36	172	0.7876	
5	37	363	0.8874	
5	38	362	0.9926	
5	39	367	0.9494	
5	40	362	0.9687	
5	41	380	0.7583	
5	42	375	0.8299	
5	43	385	0.8907	
5	44	400	0.8716	
5	45	158	0.7929	
5	46	156	0.959	
5	47	454	0.8745	
5	48	497	0.9247	
6	1	563	0.9169	
6	2	447	0.7697	
6	3	396	0.9162	
6	4	368	0.8935	
6	5	326	0.9095	
6	6	328	0.9151	
6	7	350	0.9597	
6	8	336	0.8489	
6	9	276	0.8707	
6	10	278	0.9177	
6	11	305	0.9205	
6	12	284	0.8796	
6	13	324	0.8185	
6	14	310	0.9427	
6	15	338	0.8892	
6	16	304	0.9415	
6	17	222	1.0301	
6	18	229	0.8717	
6	19	296	0.9588	
6	20	298	0.9229	
6	21	273	0.8092	
6	22	290	0.8033	
6	23	230	0.9203	
6	24	246	0.892	
6	25	271	0.9118	
6	26	294	0.8203	
6	27	294	0.9705	
6	28	333	0.7955	
6	29	364	0.9133	
6	30	323	0.8856	
6	31	100	1.0276	
6	32	78	1.0219	
6	33	311	0.883	
6	34	305	0.988	
6	35	161	0.9645	
6	36	171	0.964	
6	37	338	0.9597	
6	38	328	0.8777	
6	39	346	0.9259	
6	40	322	0.8617	
6	41	364	0.8182	
6	42	369	0.9322	
6	43	366	0.8744	
6	44	390	0.8068	
6	45	167	0.8665	
6	46	174	1.0057	
6	47	473	0.9301	
6	48	502	0.8493	
7	1	0	NA	
7	2	0	NA	
7	3	323	0.8026	
7	4	309	0.9748	
7	5	0	NA	
7	6	0	NA	
