# gitter v1.1 data file generated on Fri Oct 09 10:06:21 2015
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	626	0.2738	C
1	2	378	0.3183	C
1	3	481	0.3802	C
1	4	424	0.445	C
1	5	438	0.2802	C
1	6	529	0.2311	S,C
1	7	531	0.2442	S,C
1	8	418	0.3843	C
1	9	419	0.3698	C
1	10	479	0.3782	C
1	11	373	0.1973	C
1	12	413	0.3056	C
1	13	488	0.3994	C
1	14	505	0.4963	C
1	15	345	0.2866	C
1	16	377	0.2525	C
1	17	143	0.1383	C
1	18	155	0.1291	C
1	19	516	0.5318	C
1	20	496	0.349	S,C
1	21	458	0.5851	C
1	22	454	0.3377	C
1	23	474	0.3613	C
1	24	533	0.4089	S,C
1	25	506	0.4497	C
1	26	407	0.1632	S,C
1	27	472	0.3393	C
1	28	434	0.3065	C
1	29	491	0.9515	
1	30	411	0.9154	
1	31	380	0.8734	
1	32	394	0.9631	
1	33	488	0.2387	C
1	34	480	0.2255	C
1	35	0	NA	
1	36	0	NA	
1	37	428	0.8722	
1	38	444	0.5605	C
1	39	398	0.1625	C
1	40	481	0.3118	S,C
1	41	543	0.2122	S,C
1	42	451	0.2213	C
1	43	469	0.242	C
1	44	440	0.2366	C
1	45	488	0.2604	C
1	46	399	0.883	
1	47	492	0.3235	C
1	48	604	0.4951	C
2	1	487	0.6051	
2	2	394	0.9724	
2	3	410	0.973	
2	4	422	0.9137	
2	5	357	0.9719	
2	6	333	0.987	
2	7	381	0.9251	
2	8	393	0.9178	
2	9	407	0.9007	
2	10	404	0.9651	
2	11	222	0.8806	
2	12	254	0.9588	
2	13	396	0.9615	
2	14	368	0.9453	
2	15	203	0.9332	
2	16	226	0.8781	
2	17	61	0.9679	
2	18	69	0.8843	
2	19	381	0.9692	
2	20	345	0.9232	S
2	21	295	0.9482	
2	22	289	0.9188	
2	23	281	0.935	
2	24	288	0.969	
2	25	278	0.9802	
2	26	296	0.5227	S,C
2	27	285	0.9935	
2	28	284	1.0096	
2	29	331	0.9467	
2	30	347	0.9514	
2	31	236	0.9443	
2	32	281	0.9276	
2	33	259	0.9391	
2	34	309	0.9396	
2	35	0	NA	
2	36	0	NA	
2	37	375	0.9474	
2	38	375	0.9866	
2	39	251	0.8679	
2	40	276	0.9111	
2	41	410	0.9638	
2	42	415	0.9692	
2	43	401	0.9014	
2	44	398	0.9823	
2	45	421	0.8786	
2	46	424	0.9531	
2	47	379	0.9418	
2	48	445	0.9429	
3	1	0	NA	
3	2	0	NA	
3	3	0	NA	
3	4	0	NA	
3	5	0	NA	
3	6	0	NA	
3	7	0	NA	
3	8	0	NA	
3	9	0	NA	
3	10	0	NA	
3	11	0	NA	
3	12	0	NA	
3	13	0	NA	
3	14	0	NA	
3	15	0	NA	
3	16	0	NA	
3	17	0	NA	
3	18	0	NA	
3	19	0	NA	
3	20	0	NA	
3	21	0	NA	
3	22	0	NA	
3	23	0	NA	
3	24	0	NA	
3	25	0	NA	
3	26	0	NA	
3	27	0	NA	
3	28	0	NA	
3	29	0	NA	
3	30	0	NA	
3	31	0	NA	
3	32	0	NA	
3	33	0	NA	
3	34	0	NA	
3	35	0	NA	
3	36	0	NA	
3	37	0	NA	
3	38	0	NA	
3	39	0	NA	
3	40	0	NA	
3	41	0	NA	
3	42	0	NA	
3	43	0	NA	
3	44	0	NA	
3	45	0	NA	
3	46	0	NA	
3	47	0	NA	
3	48	0	NA	
4	1	0	NA	
4	2	0	NA	
4	3	0	NA	
4	4	0	NA	
4	5	0	NA	
4	6	0	NA	
4	7	0	NA	
4	8	0	NA	
4	9	0	NA	
4	10	0	NA	
4	11	0	NA	
4	12	0	NA	
4	13	0	NA	
4	14	0	NA	
4	15	0	NA	
4	16	0	NA	
4	17	0	NA	
4	18	0	NA	
4	19	0	NA	
4	20	0	NA	
4	21	0	NA	
4	22	0	NA	
4	23	0	NA	
4	24	0	NA	
4	25	0	NA	
4	26	0	NA	
4	27	0	NA	
4	28	0	NA	
4	29	0	NA	
4	30	0	NA	
4	31	0	NA	
4	32	0	NA	
4	33	0	NA	
4	34	0	NA	
4	35	0	NA	
4	36	0	NA	
4	37	0	NA	
4	38	0	NA	
4	39	0	NA	
4	40	0	NA	
4	41	0	NA	
4	42	0	NA	
4	43	0	NA	
4	44	0	NA	
4	45	0	NA	
4	46	0	NA	
4	47	0	NA	
4	48	0	NA	
5	1	499	0.9153	
5	2	486	0.9639	
5	3	192	0.9865	
5	4	203	1.0187	
5	5	396	0.9774	
5	6	349	0.9501	
5	7	367	0.8571	
5	8	371	0.9157	
5	9	457	0.9597	
5	10	457	0.9256	
5	11	0	NA	
5	12	0	NA	
5	13	480	0.9246	
5	14	468	0.9282	
5	15	127	0.9396	
5	16	113	1.0871	
5	17	396	0.984	
5	18	389	0.9828	
5	19	250	1.0003	
5	20	258	0.9355	
5	21	331	0.9637	
5	22	320	0.9911	
5	23	248	1.0134	
5	24	253	1.0123	
5	25	275	0.9327	
5	26	282	0.8734	
5	27	389	0.9666	
5	28	372	0.9556	
5	29	337	0.8657	
5	30	315	1.0015	
5	31	392	0.9154	
5	32	339	0.987	
5	33	251	0.9285	
5	34	286	0.9889	
5	35	161	0.9792	
5	36	188	0.9434	
5	37	387	0.8895	
5	38	430	0.9169	
5	39	0	NA	
5	40	0	NA	
5	41	471	0.9539	
5	42	481	0.8949	
5	43	0	NA	
5	44	0	NA	
5	45	461	0.9337	
5	46	438	0.8871	
5	47	466	0.9163	
5	48	505	0.8831	
6	1	513	0.9545	
6	2	501	0.9593	
6	3	220	0.9382	
6	4	198	1.0173	
6	5	403	0.9785	
6	6	404	0.9081	
6	7	370	0.9284	
6	8	315	0.9756	
6	9	434	0.9604	
6	10	480	0.9059	
6	11	0	NA	
6	12	0	NA	
6	13	494	0.8472	
6	14	499	0.9418	
6	15	150	0.9321	
6	16	133	0.9198	
6	17	409	0.9194	
6	18	388	0.9802	
6	19	258	0.9624	
6	20	259	1.0063	
6	21	336	1.0034	
6	22	373	0.9582	
6	23	271	0.9447	
6	24	274	0.9854	
6	25	318	0.9849	
6	26	309	0.9748	
6	27	398	0.9729	
6	28	418	0.9827	
6	29	434	0.9604	
6	30	334	0.99	
6	31	382	0.9718	
6	32	357	0.9789	
6	33	271	1.0025	
6	34	293	1.0131	
6	35	176	0.9353	
6	36	192	0.8909	
6	37	406	0.879	
6	38	428	0.9326	
6	39	0	NA	
6	40	0	NA	
6	41	463	0.9723	
6	42	486	0.9499	
6	43	0	NA	
6	44	0	NA	
6	45	476	0.9847	
6	46	449	0.923	
6	47	480	0.9382	
6	48	515	0.8833	
7	1	0	NA	
7	2	0	NA	
7	3	0	NA	
7	4	0	NA	
7	5	0	NA	
7	6	0	NA	
7	7	0	NA	
7	8	0	NA	
7	9	0	NA	
7	10	0	NA	
7	11	0	NA	
7	12	0	NA	
7	13	0	NA	
7	14	0	NA	
