row	col	size	circularity
1	1	333	0.5634
1	2	144	0.8035
1	3	372	0.8232
1	4	328	0.8796
1	5	202	0.8013
1	6	239	0.5151
1	7	347	0.2126
1	8	330	0.8161
1	9	304	0.9011
1	10	283	0.5419
1	11	342	0.7339
1	12	351	0.7566
1	13	344	0.8751
1	14	373	0.7335
1	15	388	0.9121
1	16	425	0.8069
1	17	343	0.8565
1	18	337	0.8866
1	19	375	0.7996
1	20	438	0.7811
1	21	373	0.8128
1	22	349	0.8904
1	23	448	0.7377
1	24	475	0.5328
1	25	430	0.2941
1	26	308	0.816
1	27	425	0.7861
1	28	411	0.785
1	29	422	0.837
1	30	393	0.8834
1	31	463	0.8972
1	32	428	0.7546
1	33	433	0.8221
1	34	435	0.8943
1	35	0	NA
1	36	0	NA
1	37	162	0.8405
1	38	132	0.9385
1	39	220	0.7977
1	40	253	0.4082
1	41	575	0.246
1	42	448	0.921
1	43	0	NA
1	44	0	NA
1	45	498	0.8124
1	46	371	0.9219
1	47	287	0.7152
1	48	472	0.6165
2	1	285	0.3819
2	2	270	0.8003
2	3	374	0.9839
2	4	314	0.861
2	5	184	0.8618
2	6	204	0.7636
2	7	317	0.82
2	8	326	0.784
2	9	277	0.8065
2	10	301	0.975
2	11	335	0.8965
2	12	346	0.854
2	13	343	0.8523
2	14	338	0.9768
2	15	338	0.7446
2	16	323	0.8438
2	17	268	0.786
2	18	271	0.855
2	19	335	0.9346
2	20	309	0.7183
2	21	287	0.8209
2	22	271	0.9634
2	23	312	0.8642
2	24	302	0.9528
2	25	271	0.855
2	26	323	0.5076
2	27	265	0.7855
2	28	284	0.92
2	29	268	0.9527
2	30	263	0.7998
2	31	288	0.8385
2	32	301	0.9084
2	33	273	1.0099
2	34	314	0.8123
2	35	0	NA
2	36	0	NA
2	37	165	0.8561
2	38	164	0.8715
2	39	219	0.9339
2	40	227	0.8231
2	41	455	0.684
2	42	454	0.7972
2	43	0	NA
2	44	0	NA
2	45	453	0.7695
2	46	412	0.8222
2	47	340	0.9418
2	48	382	0.7656
3	1	504	0.9063
3	2	400	0.9134
3	3	354	0.8137
3	4	322	0.9143
3	5	285	0.9935
3	6	302	0.9353
3	7	292	0.9283
3	8	285	0.7951
3	9	315	0.9103
3	10	328	0.9974
3	11	306	0.9836
3	12	287	0.8507
3	13	183	0.8685
3	14	186	1.0127
3	15	216	0.9294
3	16	211	0.8622
3	17	280	0.9496
3	18	252	0.8385
3	19	258	0.875
3	20	257	0.7482
3	21	254	0.9869
3	22	267	0.7773
3	23	145	0.9605
3	24	162	0.7762
3	25	99	0.8192
3	26	84	1.06
3	27	353	0.8772
3	28	277	0.8272
3	29	357	0.9789
3	30	209	0.8291
3	31	222	0.805
3	32	239	0.8666
3	33	283	0.9096
3	34	321	0.9277
3	35	360	0.8885
3	36	376	0.8781
3	37	0	NA
3	38	0	NA
3	39	202	0.9373
3	40	227	0.8163
3	41	0	NA
3	42	0	NA
3	43	424	0.9383
